a_term	b_term	len(a_b_intersect)	len(a_term_set)	len(b_term_set)	n_articles	pmid_intersection	pvalue	run_time	sort_ratio
peretinoin	hepatitis c	6	15	81130	33810017	"{24732793, 29360739, 25209978, 27649418, 24728665, 23587162}"	9.38E-13	0.020009156	7.40E-05
calcium homeostasis	malabsorption	23	8943	12623	33810017	"{28383630, 25391248, 9364245, 34522774, 15644568, 10501788, 22513949, 15075998, 17119391, 32774945, 29955623, 25289773, 3439535, 31067701, 30895164, 646719, 30641095, 18982351, 19821402, 24823922, 31679731, 468980, 29484538}"	1.70E-12	0.013448218	0.001822071
nalorphine	miosis	6	663	1740	33810017	"{5673987, 945347, 14340933, 60089, 608317, 2550623}"	2.06E-12	0.002410951	0.003448276
asiaticoside	keloid	6	342	3469	33810017	"{21240513, 25331681, 13961096, 28346732, 27784253, 22939261}"	2.40E-12	0.0022241	0.001729605
geraniol	proboscis	7	1598	1701	33810017	"{8950019, 10604836, 9272679, 9359884, 14504787, 21767543, 15805307}"	3.92E-12	0.002257065	0.004115226
trigonella foenum-graecum	high cholesterol	8	659	7703	33810017	"{34539904, 26280170, 22471470, 31988303, 26220304, 15298963, 26147513, 19935901}"	5.36E-12	0.003365537	0.001038556
clobenpropit	seizures	11	170	99164	33810017	"{9739010, 15319804, 11411342, 15130703, 11640977, 14660019, 7957622, 9826104, 20511290, 10874588, 15179677}"	5.56E-12	0.062637435	0.000110927
perillyl alcohol	growth suppression	6	339	4063	33810017	"{15229351, 18507048, 27102697, 8886130, 18645014, 18768668}"	5.85E-12	0.002258177	0.001476741
(-)-phenserine	neuroblastoma	7	91	37221	33810017	"{17627035, 15681799, 15314261, 11404470, 11273593, 17003227, 16690718}"	1.46E-11	0.025993018	0.000188066
ery	erysipelas	6	740	2241	33810017	"{31219054, 28405422, 11337140, 16921879, 26100922, 10411263}"	1.81E-11	0.001912639	0.002677376
h2-receptor antagonists	nausea	26	2600	65512	33810017	"{32875528, 16605193, 30240657, 9279507, 2043287, 11693467, 6095662, 8801073, 2180030, 1888833, 29860931, 25944644, 11704777, 15338068, 2093017, 30360666, 1670619, 25307228, 1981922, 3069285, 25752807, 9780715, 9347180, 24636270, 3121276, 10597119}"	3.29E-11	0.072459666	0.000396874
cephacetrile	pneumoniae	7	114	61935	33810017	"{340385, 23336133, 649999, 823280, 329618, 1047636, 4377}"	2.40E-09	0.047931913	0.000113022
wheat	iron deficiency anemia	42	64329	7875	33810017	"{17075969, 20236546, 103043, 107784, 12035848, 32724619, 23609613, 28684433, 27722771, 23094165, 9482776, 24683675, 26385949, 34038558, 24444577, 32529061, 18297896, 23284266, 15743019, 32033590, 23945403, 23323072, 27171139, 25830598, 10737228, 15887437, 17215188, 25527765, 7858644, 23014487, 10047703, 30996438, 17974363, 16929243, 17023710, 23074399, 23444707, 34072813, 18301806, 10355314, 33830390, 26006779}"	7.62E-09	0.005821431	0.005333333
emtricitabine tenofovir alafenamide	arms	7	140	67242	33810017	"{31464642, 31846985, 31303147, 28076335, 33335931, 29627709, 33528318}"	1.75E-08	0.031576452	0.000104102
fucus vesiculosus	ash	7	513	19687	33810017	"{28147712, 32344706, 29140261, 32545350, 18194859, 30274353, 27011287}"	3.12E-08	0.089226847	0.000355565
onion	cholesterol gallstones	6	5940	1091	33810017	"{18983715, 20079366, 20153000, 23364205, 21756271, 26147513}"	5.76E-08	0.001966869	0.005499542
nimesulide	colon cancer	15	1641	51007	33810017	"{15892897, 12086401, 16774945, 18349538, 22849544, 17893232, 23042097, 24215890, 19415698, 15359292, 28656311, 10783320, 11216473, 11911260, 9473726}"	5.83E-08	0.010738524	0.000294077
colistin	lactose:	21	7790	22802	33810017	"{31645828, 26340361, 12084498, 23660708, 26842149, 26842152, 34165418, 12433451, 1885744, 35208754, 33376444, 788294, 3711302, 3968202, 7229004, 7076812, 2586190, 31634643, 31886427, 31930340, 6715516}"	1.77E-07	0.022044096	0.000920972
romiplostim	myeloid leukemia	9	557	49963	33810017	"{25455280, 23690288, 22906162, 28592755, 20008626, 22127320, 24706489, 26329147, 22082044}"	2.16E-07	0.011674095	0.000180133
quinupristin	infective endocarditis	7	1104	12453	33810017	"{12462433, 20844611, 11706922, 16872491, 27689100, 18395180, 26565015}"	2.51E-07	0.004122138	0.000562114
alpha interferon	polyarthritis	11	5297	9264	33810017	"{10502017, 9662754, 9465381, 16398316, 11529644, 12635503, 18433328, 8861523, 19077973, 1411190, 3098327}"	3.96E-07	0.004610611	0.001187392
simvastatin and ezetimibe	atrial fibrillation	6	141	80392	33810017	"{21996417, 24903982, 22520536, 24083535, 23416018, 25438232}"	1.35E-06	0.01925688	7.46E-05
sertraline	dyskinesia	12	4943	13691	33810017	"{8544966, 23609383, 26752908, 16607468, 26792111, 9294735, 30575411, 8875667, 32546134, 28349014, 28759866, 10950491}"	1.36E-06	0.01276699	0.000876488
pramlintide	anorexia	6	366	31793	33810017	"{26424675, 17064208, 16278328, 29029531, 11919132, 17617279}"	1.66E-06	0.036449587	0.000188721
melarsoprol	anaemia	6	347	34663	33810017	"{3143492, 29043174, 17463047, 1355219, 21420376, 8249087}"	2.00E-06	0.021449495	0.000173095
prochloraz	abc	6	441	27690	33810017	"{34406787, 27028005, 35205191, 32050894, 24389113, 26499483}"	2.20E-06	0.024291544	0.000216685
e2 prostaglandin	glomerular	7	209	96352	33810017	"{10654821, 11181968, 11849393, 1532566, 6799003, 6696925, 34069822}"	2.88E-06	0.052135507	7.27E-05
baricitinib	sharp	9	669	57752	33810017	"{28199814, 29765703, 30078086, 33725321, 30886733, 31168413, 32811536, 35193872, 34526397}"	3.16E-06	0.033287457	0.000155839
aminopterin	radial aplasia/hypoplasia	7	1100	25705	33810017	"{6825121, 3308323, 19938091, 8357010, 13156372, 7894742, 22434686}"	2.70E-05	0.009090351	0.000272321
copolymer	ovarian cancer	78	27237	59535	33810017	"{19660809, 32263178, 16529420, 24725005, 20039697, 20073508, 31353381, 11389998, 17869367, 21536326, 31260753, 26636884, 16283736, 25185891, 26912357, 22475886, 31099014, 26855050, 12675211, 29458574, 32296591, 27539088, 20604578, 32364706, 22844591, 24116912, 31819443, 33160373, 27020984, 23469757, 25319102, 23827653, 26417350, 32263369, 24668891, 25092316, 17308894, 11489506, 29381366, 32279799, 31730949, 20127011, 9466663, 16749867, 22888237, 27911475, 34606388, 23957812, 26214199, 26410808, 27444549, 25270092, 22276949, 22750042, 27620699, 12033370, 29593949, 27791199, 33299312, 23474033, 31705975, 24955779, 28277671, 18005929, 24266669, 24316339, 8641974, 30305216, 31817672, 26394060, 22350800, 24346086, 31132647, 33803751, 25192941, 33845742, 23838194, 18729468}"	4.07E-05	0.020297781	0.001310154
colony stimulating factors	hypercalcemia	7	2576	13984	33810017	"{2473793, 8609700, 1883526, 6600966, 2212010, 1924309, 8321079}"	0.00012178	0.009620637	0.000500572
analgesics	tendinitis	10	30376	2522	33810017	"{1738752, 8787303, 23862089, 23845292, 21737231, 19725488, 30744914, 25622930, 28376756, 19540570}"	0.000126301	0.002566815	0.003965107
3-aminobenzamide	mitochondrial dysfunction	6	1062	24356	33810017	"{30389154, 8396329, 11461900, 25111857, 10995836, 19620254}"	0.000143604	0.009485392	0.000246346
cefotiam	ascites	6	652	43185	33810017	"{6302346, 12621738, 3911148, 6304366, 6325751, 23461214}"	0.00022428	0.038505112	0.000138937
linum usitatissimum	inheritance	6	742	46031	33810017	"{24248076, 24201485, 24419325, 24276920, 17205337, 11094749}"	0.000617332	0.026938796	0.000130347
specific immunoglobulins	swelling	9	804	96812	33810017	"{29691361, 2913129, 29687337, 25150251, 16507120, 1451700, 28901397, 29752757, 33174074}"	0.000629852	0.054994555	9.30E-05
(-)-cystine	hypokalemia	9	10121	8083	33810017	"{1956743, 17172073, 23431081, 21750641, 14610675, 2919605, 22497686, 31672123, 34911613}"	0.000907856	0.005377284	0.001113448
glycyrrhizin	constipation	6	1773	26404	33810017	"{21881253, 16791400, 23703562, 29380109, 21881230, 34604277}"	0.003018603	0.016847793	0.000227238
(-)-calyculin a	glioma	7	1283	49938	33810017	"{27154977, 9003077, 16079401, 28068557, 9774459, 1324669, 9614207}"	0.003367665	0.089573069	0.000140174
tolbutamide	twitch	7	4451	15224	33810017	"{16418275, 1941637, 2129231, 2600854, 1908730, 11902810, 1658303}"	0.004570446	0.014653009	0.0004598
